,t,z,csim,cvar
0,5.0,0.0,0.0003554012861664244,4.335060936124031e-06
1,5.0,1.5,0.000871663162784348,1.8492542520318138e-05
2,5.0,3.0,0.0017555268160358703,5.688866461983146e-05
3,5.0,4.5,0.0031345338840028415,0.00014148681318200946
4,5.0,6.0,0.005130002803223505,0.00030096840858750593
5,5.0,7.5,0.007839187731076794,0.0005666191589748849
6,5.0,9.0,0.011322354401076857,0.0009670856159955054
7,5.0,10.5,0.015587611620712838,0.00152229469746083
8,5.0,12.0,0.020598323570000365,0.002241128651866229
9,5.0,13.5,0.026270963163250085,0.003119888470423211
10,5.0,15.0,0.03248998101956839,0.004146023037286581
11,5.0,16.5,0.039117627729191744,0.005300643073007735
12,5.0,18.0,0.046006314240337194,0.006562114634519183
13,5.0,19.5,0.05300927163951957,0.007909107171587916
14,5.0,21.0,0.05998893773459668,0.009322593173240887
15,5.0,22.5,0.06682263536438703,0.010786809685123263
16,5.0,24.0,0.07340582861702649,0.01228938729240332
17,5.0,25.5,0.07965338624907274,0.013820926993058712
18,5.0,27.0,0.08549935513959774,0.015374296901858951
19,5.0,28.5,0.09089572290431162,0.016943862184541192
20,5.0,30.0,0.09581057386398666,0.018524788603167815
21,5.0,31.5,0.10022595059364113,0.020112493854375697
22,5.0,33.0,0.10413564479073506,0.021702270905093933
23,5.0,34.5,0.10754306628750998,0.02328907460504085
24,5.0,36.0,0.11045928013101465,0.024867444099230404
25,5.0,37.5,0.11290125879699842,0.026431528437516012
26,5.0,39.0,0.11489036666820203,0.02797518550359819
27,5.0,40.5,0.11645107451305764,0.029492117272343583
28,5.0,42.0,0.11760988984146606,0.030976008314505782
29,5.0,43.5,0.11839448267874778,0.03242068578286083
30,5.0,45.0,0.11883298355182555,0.03382030303636499
31,5.0,46.5,0.11895343013541475,0.03516941226237595
32,5.0,48.0,0.11878334006303932,0.036462927701843006
33,5.0,49.5,0.11834938943960138,0.03769635193141628
34,5.0,51.0,0.11767717863883564,0.03886616524147139
35,5.0,52.5,0.11679106926874173,0.0399694254765868
36,5.0,54.0,0.11571407836607883,0.04100291376041713
37,5.0,55.5,0.11446781834237706,0.04196403886570561
38,5.0,57.0,0.1130724736423265,0.04285286114298209
39,5.0,58.5,0.11154680616522486,0.04367054227983467
40,5.0,60.0,0.109908181196999,0.04441475996399508
41,5.0,61.5,0.10817260638620105,0.04508118099618498
42,5.0,63.0,0.10635478097945762,0.045672436587517365
43,5.0,64.5,0.10446815773098464,0.04619906437053559
44,5.0,66.0,0.1025250176416329,0.04666431032480411
45,5.0,67.5,0.10053654569367065,0.04705484607301777
46,5.0,69.0,0.09851288998333335,0.04736022356684126
47,5.0,70.5,0.09646320454736004,0.047598660357887256
48,5.0,72.0,0.09439570718698904,0.04780328063505179
49,5.0,73.5,0.09231778316129127,0.04797477615409369
50,5.0,75.0,0.09023611099939523,0.04806854232442166
51,5.0,76.5,0.08815672877120394,0.04805210632329065
52,5.0,78.0,0.08608498962375395,0.04796621557206562
53,5.0,79.5,0.08402548506066516,0.04789529942483528
54,5.0,81.0,0.08198210797458869,0.047862528287709025
55,5.0,82.5,0.0799583273953748,0.04777958826940071
56,5.0,84.0,0.07795748983169828,0.047536713196435716
57,5.0,85.5,0.0759828214658011,0.04714634272712376
58,5.0,87.0,0.0740370255422309,0.04676441215861351
59,5.0,88.5,0.072121827807142,0.046535870922319006
60,5.0,90.0,0.07023804368073222,0.04641954184725781
61,5.0,91.5,0.06838636018337753,0.046197268011746596
62,5.0,93.0,0.06656826982784192,0.045687674669688094
63,5.0,94.5,0.06478620405597593,0.0449563435230587
64,5.0,96.0,0.06304244779513987,0.044293069667625785
65,5.0,97.5,0.06133757610338527,0.04395015714466023
66,5.0,99.0,0.059669887239893415,0.043882588320783095
67,5.0,100.5,0.058036739270877664,0.04375005921760395
68,5.0,102.0,0.0564370729760579,0.043204532845274916
69,5.0,103.5,0.05487306702229628,0.04221628019720995
70,5.0,105.0,0.053349166041120125,0.041140688171288
71,5.0,106.5,0.05186870874941489,0.0404470601081906
72,5.0,108.0,0.050430578290239746,0.0403252791727991
73,5.0,109.5,0.04902878655762921,0.04049960991298662
74,5.0,111.0,0.047655980269941466,0.04041556900146327
75,5.0,112.5,0.04630877610590293,0.039664352963203954
76,5.0,114.0,0.044990978814706636,0.03831640184259243
77,5.0,115.5,0.04371177161799672,0.03690180358914574
78,5.0,117.0,0.042479427384033396,0.036042505774472676
79,5.0,118.5,0.0412945720024798,0.03600141462655568
80,5.0,120.0,0.04014790632577636,0.03647439778600267
81,5.0,121.5,0.03902466529073921,0.036776581641369745
82,5.0,123.0,0.03791355997234233,0.036297410468640906
83,5.0,124.5,0.036814573467802376,0.034916056257668124
84,5.0,126.0,0.03574019085145976,0.03309973393387524
85,5.0,127.5,0.03470852695284508,0.03162095580389022
86,5.0,129.0,0.03373199834947941,0.031076583842561675
87,5.0,130.5,0.03280834950731364,0.03151213547359462
88,5.0,132.0,0.03191986854770186,0.03238160678806434
89,5.0,133.5,0.03104196210445311,0.03286300877396114
90,5.0,135.0,0.030156648867732134,0.03233727264433231
91,5.0,136.5,0.029263341414646666,0.030748606796110963
92,5.0,138.0,0.02838046856414585,0.028642384345326084
93,5.0,139.5,0.027536442990544224,0.026866763389782763
94,5.0,141.0,0.026754426095732486,0.02611127236420466
95,5.0,142.5,0.0260389534706023,0.0265363530268361
96,5.0,144.0,0.025371750041616563,0.027687754980478027
97,5.0,145.5,0.0247193682125616,0.02873212564529063
98,5.0,147.0,0.024049130713101264,0.028883328467114753
99,5.0,148.5,0.02334548193234991,0.027797551038563944
100,5.0,150.0,0.022618490603473,0.025740546740089767
